panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,6,74.2411,27.1943,459.2411,382.1943,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,7,83.3596,22.635,468.3596,377.635,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,8,92.044,18.9442,477.044,373.9442,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,9,103.5507,16.7731,488.5507,371.7731,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,10,117.4456,16.556,502.4456,371.556,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,11,129.1695,18.0758,514.1695,373.0758,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,12,140.4591,21.7666,525.4591,376.7666,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,13,148.9263,25.4574,533.9263,380.4574,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,14,158.6962,30.668,543.6962,385.668,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,15,165.6436,36.3129,550.6436,391.3129,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,16,172.374,43.9116,557.374,398.9116,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,17,177.1503,53.0302,562.1503,408.0302,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,18,179.3214,63.8856,564.3214,418.8856,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,19,180.8412,74.9581,565.8412,429.9581,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,20,180.8412,83.2082,565.8412,438.20820000000003,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,21,179.1043,94.0636,564.1043,449.0636,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,22,176.499,103.8335,561.499,458.8335,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,23,172.374,112.952,557.374,467.952,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,24,167.8147,119.8995,552.8147,474.8995,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,25,161.9528,125.3272,546.9528,480.3272,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,26,156.308,130.972,541.308,485.972,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,27,146.1039,137.4852,531.1039000000001,492.48519999999996,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,28,135.4656,142.0445,520.4656,497.04449999999997,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,29,123.5246,144.2156,508.5246,499.2156,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,30,109.6297,144.6498,494.6297,499.6498,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,31,96.6032,142.6958,481.6032,497.69579999999996,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,32,83.3596,137.9195,468.3596,492.91949999999997,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,33,74.6753,133.5773,459.6753,488.57730000000004,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,34,66.2081,126.1956,451.2081,481.1956,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,35,58.3922,116.6429,443.3922,471.6429,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,36,53.1816,106.6559,438.1816,461.6559,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,37,50.1421,98.1887,435.1421,453.1887,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,38,48.6223,91.2412,433.6223,446.2412,True,True
A10_P03,A10,outer_boundary,Outer dimpled-sphere boundary,0,39,47.7539,86.6819,432.7539,441.6819,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,0,0,68.5963,32.8391,453.5963,387.83910000000003,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,0,1,70.5503,31.5365,455.5503,386.5365,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,0,2,73.1556,30.2338,458.1556,385.2338,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,0,83.5767,30.668,468.5767,385.668,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,1,87.0505,31.7536,472.0505,386.7536,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,2,90.9584,33.0562,475.9584,388.0562,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,3,93.9979,34.7931,478.9979,389.7931,True,True
A10_P03,A10,dimple_boundary,Central dimple boundary,1,4,96.3861,36.53,481.3861,391.53,True,True
