axis,pass_number,bin_index,bin_left,bin_right,is_last_bin,sample_count,weight_total,signed_mean_deg,rms_deg,p95_abs_deg,chord_rms_px
phase,1,35,6.10865238198015,6.28318530717959,True,132,28.7002273170526,-53.5805666782029,54.4546910185104,61.5048488581716,96.9838997391818
phase,2,0,0,0.174532925199433,False,119,25.7870049689718,-57.7042264545291,58.7070569599899,65.0210843898448,95.5106734906698
phase,2,1,0.174532925199433,0.349065850398866,False,112,23.6957374592097,-58.830769694553,59.9765141635531,66.0329372793629,91.2588641689825
phase,2,2,0.349065850398866,0.523598775598299,False,58,12.850877997219,-58.2927463497049,59.3951701845358,65.166225609627,88.4312688721304
phase,2,3,0.523598775598299,0.698131700797732,False,54,15.1319088813271,-52.2313655133311,52.9120775243033,58.0612236169449,79.4635405486478
phase,2,4,0.698131700797732,0.872664625997165,False,91,21.5682466964923,-44.7951078080384,45.2047302125354,52.4540306841875,64.4929439662318
phase,2,5,0.872664625997165,1.0471975511966,False,91,21.5682466964923,-40.0512589078961,40.2358451750002,48.0588515608715,53.1305707965394
phase,2,6,1.0471975511966,1.22173047639603,False,90,21.6812083590421,-32.0419545376467,33.8798049147095,50.2496499061864,38.3448111464114
phase,2,7,1.22173047639603,1.39626340159546,False,88,21.4353130472747,-23.4835524436276,29.0443303182897,54.0917204928718,23.9752793795523
phase,2,8,1.39626340159546,1.5707963267949,False,88,21.4353130472747,-17.0653403410686,28.0852898007239,56.7673927154928,15.7161453967575
phase,2,9,1.5707963267949,1.74532925199433,False,87,21.312365391391,-7.38712223861958,26.1617025423289,55.3951593709114,16.4067578767885
phase,2,10,1.74532925199433,1.91986217719376,False,87,21.312365391391,2.16001563839734,23.5007201667712,41.9724700092889,23.8053503012131
phase,2,11,1.91986217719376,2.0943951023932,False,88,21.4353130472747,11.9871950904233,24.696639485931,32.2539682278867,34.2860663548506
phase,2,12,2.0943951023932,2.26892802759263,False,64,12.2156252098669,18.3826329826336,25.8085818352606,32.7215485600661,39.4306166149506
phase,2,13,2.26892802759263,2.44346095279206,False,144,20.9468227863793,28.7002097917769,30.7507648384291,37.7867230828825,45.9715401345237
phase,2,14,2.44346095279206,2.61799387799149,False,141,20.5389466427252,33.0870592418513,35.0410485836935,41.2585262064012,50.6326515183276
phase,2,15,2.61799387799149,2.79252680319093,False,140,20.0227746251229,38.5360000845144,39.2896230308904,44.0315448204229,52.8475787493008
phase,2,16,2.79252680319093,2.96705972839036,False,139,19.7347305893511,43.6609274584328,43.7743942310042,45.756653697002,53.7768577951754
phase,2,17,2.96705972839036,3.14159265358979,False,85,15.8148797310366,48.7714364004499,48.8408580902162,54.9618923740845,59.7918529251872
phase,2,18,3.14159265358979,3.31612557878923,False,47,13.5380696812724,51.8790019124815,51.8940504659934,54.066239598737,66.7225774574208
phase,2,19,3.31612557878923,3.49065850398866,False,45,12.9619816097289,56.3920486890568,56.4088110233715,58.8557415247067,70.4823950658986
phase,2,20,3.49065850398866,3.66519142918809,False,35,10.0815412520114,60.5889392460386,60.5980343656107,61.7672681667019,73.8607258707458
phase,2,21,3.66519142918809,3.83972435438753,False,47,10.291020650313,59.9200353420323,59.921849001968,60.4093155135771,69.6193833741078
phase,2,22,3.83972435438753,4.01425727958696,False,55,12.042683739728,62.0794025852799,62.0835805857765,62.7687903037541,70.0172958740052
phase,2,23,4.01425727958696,4.18879020478639,False,53,11.6047679673742,64.3563437005676,64.3583877417025,64.951171826678,70.3116405091364
phase,2,24,4.18879020478639,4.36332312998582,False,53,11.6047679673742,62.7880609113509,62.7976513077239,64.0782635317587,66.072789166722
phase,2,25,4.36332312998582,4.53785605518526,False,50,10.9478943088436,55.5226614471668,55.5580414330227,59.125363340122,55.8112392867351
phase,2,26,4.53785605518526,4.71238898038469,False,46,10.0720627641361,50.8262696583596,50.8380099117054,52.3131640309511,49.010915240913
phase,2,27,4.71238898038469,4.88692190558412,False,45,9.85310487795924,49.1752002516759,49.1757977801542,49.6230187126664,45.8084308620002
phase,2,28,4.88692190558412,5.06145483078356,False,43,9.4151891056055,47.5003388393664,47.5107121141992,48.5763043898001,42.8502523729234
phase,2,29,5.06145483078356,5.23598775598299,False,57,3.9352297654076,35.4900551591403,36.7635154857432,45.1036966215193,31.9916667869118
phase,2,30,5.23598775598299,5.41052068118242,False,439,102.771426173741,15.3041335328537,16.3458905637392,23.6825260675315,79.9186118673473
phase,2,31,5.41052068118242,5.58505360638185,False,314,73.6336817132907,-1.76716613293708,8.49739245542173,20.0645266111896,23.0294997277108
phase,2,32,5.58505360638185,5.75958653158129,False,454,29.1786024251764,-15.5025878335873,18.1276766999919,23.6887135176201,55.8831795303216
phase,2,33,5.75958653158129,5.93411945678072,False,177,42.4982835673244,-30.0061913653176,32.2073545701591,41.4300329014824,80.7567309689091
phase,2,34,5.93411945678072,6.10865238198015,False,152,34.8997096677155,-42.6889882774629,44.3005823059484,52.8993864543476,92.7869018130021
phase,2,35,6.10865238198015,6.28318530717959,True,132,29.4112647576136,-52.3730148573401,53.3908873012039,60.9967293043948,96.4125554508207
source_order_q,1,0,0,0.05,False,201,11.6978606069491,47.4502604353015,47.5877877148023,53.5609951464463,24.6770421382142
source_order_q,1,1,0.05,0.1,False,200,11.6396622954717,27.4956863184137,28.1398786607802,38.3716182042006,14.9093678417724
source_order_q,1,2,0.1,0.15,False,201,24.7398796255395,-40.3636715421112,46.5378512644087,65.6123790431349,22.4864282412367
source_order_q,1,3,0.15,0.2,False,200,24.616795647303,-54.1426376092675,55.3444646398177,64.82514102491,28.2924383397662
source_order_q,1,4,0.2,0.25,False,201,19.6598046369864,-38.1121858699311,38.1493669312883,41.5042875064258,22.8017332695944
source_order_q,1,5,0.25,0.3,False,200,19.5619946636681,-17.3180919253239,19.9115626763381,32.5736158394888,12.9366035682161
source_order_q,1,6,0.3,0.35,False,201,8.14949573141699,31.2677558390643,31.2860972857995,32.7096412784286,25.0939121702186
source_order_q,1,7,0.35,0.4,False,200,8.10895097653432,30.3073560551137,30.3109432009976,31.2908060821286,24.8995642855086
source_order_q,1,8,0.4,0.45,False,201,43.1488840858956,55.170312488952,55.2040011389763,57.7975179270064,52.3845783579361
source_order_q,1,9,0.45,0.5,False,200,42.9342130207916,64.5060047046036,64.5215552926467,66.0062555116914,71.2552431832849
source_order_q,1,10,0.5,0.55,False,200,58.4241070512822,54.8235736989216,55.1371443709429,65.7147218919938,70.1509565986449
source_order_q,1,11,0.55,0.6,False,201,58.7162275865386,41.1204892338044,41.2233523324895,46.1621136875449,60.379852988258
source_order_q,1,12,0.6,0.65,False,200,71.0249690879918,7.86004080002776,16.2716469270444,29.7487774049962,25.8066179287189
source_order_q,1,13,0.65,0.7,False,201,71.3800939334318,-36.5624699242475,38.8164081056645,54.5319323941868,60.0834438581901
source_order_q,1,14,0.7,0.75,False,200,66.6942658249566,-62.2107735879704,62.2514499863945,64.8939085053168,105.025901357925
source_order_q,1,15,0.75,0.8,False,201,67.0277371540814,-43.0053563867254,43.6845046384543,55.3019442876732,98.1703888935521
source_order_q,1,16,0.8,0.85,False,200,11.1954165294759,-23.2568400929153,23.2842147693531,25.1123407138003,70.2964432750326
source_order_q,1,17,0.85,0.9,False,201,11.2513936121232,-19.539846556348,19.5690204758162,21.214678586255,62.1393253928401
source_order_q,1,18,0.9,0.95,False,200,80.923103312624,-3.75592234505892,7.05812056137046,13.3380140765448,25.803103988464
source_order_q,1,19,0.95,1,True,201,81.3277188291871,14.0623507291032,14.7299678926595,20.6823987549646,78.5228567291744
source_order_q,2,0,0,0.05,False,201,12.0431268421736,38.0292662700951,39.3358410681951,55.8568754301656,20.6038631899865
source_order_q,2,1,0.05,0.1,False,200,11.9832107882324,12.3806815016886,12.8754336355445,19.7797009076496,6.82220078801411
source_order_q,2,2,0.1,0.15,False,201,24.7124788326241,-37.340883084402,41.179964421298,56.7990744533682,20.7074717660827
source_order_q,2,3,0.15,0.2,False,200,24.5895311767404,-44.105418970729,44.7600360995775,53.966472301787,24.0298826160927
source_order_q,2,4,0.2,0.25,False,201,20.9262013100018,-37.4198031443441,37.500013378009,40.156750297829,22.8074069718209
source_order_q,2,5,0.25,0.3,False,200,20.8220908557232,-9.40885134183891,14.3261970487699,27.848596886691,9.55337814021882
source_order_q,2,6,0.3,0.35,False,201,8.22679930735345,20.4307881596265,20.4418467597743,21.8332790359221,16.2656422669619
source_order_q,2,7,0.35,0.4,False,200,8.18586995756562,23.8962334017442,23.9519102288012,26.5213196765403,19.7093041202005
source_order_q,2,8,0.4,0.45,False,201,44.0105351215513,51.0493606237663,51.198976131661,59.125363340122,49.1362517150642
source_order_q,2,9,0.45,0.5,False,200,43.7915772353744,62.4169907029042,62.4409025197584,64.755124674247,69.259724218331
source_order_q,2,10,0.5,0.55,False,200,57.6088071543508,52.6400486422829,52.9054997837284,61.5827887216682,67.5246058033848
source_order_q,2,11,0.55,0.6,False,201,57.8968511901226,39.2180939661314,39.439431563623,44.6623440247186,57.4979196820458
source_order_q,2,12,0.6,0.65,False,200,71.7713948634468,9.73321971348321,15.5477361384592,28.114499443922,24.8714604822583
source_order_q,2,13,0.65,0.7,False,201,72.130251837764,-37.2304632324444,39.8518031007249,56.6966536431645,61.725341180949
source_order_q,2,14,0.7,0.75,False,200,66.2385685161182,-62.8531035878604,62.9308757922729,65.9803140796354,106.635802947869
source_order_q,2,15,0.75,0.8,False,201,66.5697613586988,-41.7020746671802,42.4486469212569,53.6081822370293,96.3628633916549
source_order_q,2,16,0.8,0.85,False,200,11.6508559521988,-22.0548026611022,22.0912676101478,24.0585502934417,66.9391736104885
source_order_q,2,17,0.85,0.9,False,201,11.7091102319598,-17.776356593791,17.8161331633033,19.7164252543966,56.9705530235637
source_order_q,2,18,0.9,0.95,False,200,80.978523705964,-2.16898860696977,6.53370862724267,12.4309368408304,24.5439229290448
source_order_q,2,19,0.95,1,True,201,81.3834163244938,15.9746886510778,16.6556346724975,23.336704447079,88.8922492737656
